new,city,year,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y1,y5,y7,y9,y10,y11
1,1,1,60.23,283.79,180.01,15845,331.26,263.742,23.316,24.42,2072,153.0613,95,3752.688075,51.59083693,145.6187489,124.4741026,18.43420203,2.710444214
1,1,2,63.26,315.63,207.84,17694,331.93,305.414,39.834,44.5,1908,140.6884,102,3557.473087,66.56243287,314.2654801,289.8745046,11.31210966,13.07886584
1,1,3,61.23,379.84,236.57,20402,332.38,378.797,47.986,55.7,2063,132.7462,101,3430.737121,145.8707157,359.6950564,318.3835269,15.24122206,26.07030739
1,1,4,66.04,474.9,282.6,24755,332.96,525.574,72.439,60,2317,117.6847,115,3204.658722,118.518429,604.1967335,553.6182945,37.22474791,13.35369112
1,1,5,76.8,588.19,337.42,30062,333.94,635.002,117.534,78.2,2360,124.9903,130,3543.370243,58.13223439,347.3223904,234.117099,61.15044248,52.05484894
1,1,6,84.45,681.32,392.61,34668,334.33,703.458,123.403,104.6,2596,119.3952,140,3501.137028,68.28306627,391.0289247,274.9396866,92.04486714,24.04437094
1,1,7,88.17,805.76,451.25,40162,335.55,800.323,118.1,122.09,2977,128.8358,141,3532.681632,66.64999916,381.1060971,245.5290941,93.78425861,41.79274433
1,1,8,97.07,947.07,541.86,47177,336.81,900.04,147.743,148,3304,127.3967,165,2968.255468,188.8102994,840.7979708,704.6455852,91.10850657,45.04387895
1,1,9,105.52,1081.21,633.06,53929,338.07,1006.8,181.12,180,3535,133.0863,181,3481.982586,58.41915714,434.2440534,297.8714564,118.0165036,18.35609347
1,1,10,107.51,1109.77,702.09,56647,339.6,1233.41,187.178,216,7464,135.8631,183,3448.951723,60.18986566,470.7879213,338.968056,115.4478402,16.37202515
1,1,11,127,1337.15,851.3,67982,341.6,1488.26,270.389,281,7919,134.4351,214,3484.421112,64.47727089,428.1277314,304.9649859,106.097412,17.06533348
1,1,12,142.8,1532.89,1028.21,78986,343.05,1488.27,383.365,338,8378,135.3757,244,3347.305415,73.6918655,566.4332575,375.4189063,146.0428485,44.97150268
1,1,13,151.39,1598.34,1164.68,84773,344.52,1642.31,415.876,402,8432,138.4286,254,3154.013264,61.80625835,737.6492444,510.7524606,168.3584906,58.53829317
1,1,14,147.97,1708.86,1306.23,91622,345.93,1910.15,510.826,470,8842,138.8319,256,3316.550222,91.88746905,599.6842841,275.0128227,118.5970261,206.0744354
1,1,15,144.77,1813.67,1394.17,96607,348.14,2221.21,525.718,551,9861,122.3362,249,2909.983652,93.13899378,1003.220746,532.519327,142.8329823,327.8684366
1,1,16,139.09,1850.68,1528.04,100852,349.48,2513.82,458.413,664,9933,122.1386,237,3227.305336,101.29863,674.7789415,303.6768051,106.8808172,264.2213192
1,1,17,136.91,2010.5,1714.7,110095,352.12,2790.16,478.397,851,11306,116.9733,230,2784.086486,150.729024,1073.962757,549.2332784,119.4915123,405.2379664
1,1,18,135.55,2317.92,1927.05,123658,356.37,3009.64,723.805,1011,12832,122.9054,227,2905.446501,113.8444137,993.1789508,423.9394753,105.5709491,463.6685264
1,2,1,94.24,635.83,414.5,21208,540.94,360.75,59.71,116,8219,132.51,148.37,4164.937723,562.1103648,481.6692448,391.8767967,80.4325449,9.359903247
1,2,2,100.34,718.91,493.43,24213,543.34,470.28,87.08,130.6,8300,112.17,156.43,3536.048673,596.3313325,839.8223172,763.4853721,65.77247682,10.56446823
1,2,3,107.15,828.88,564.31,27541,546.19,601.27,125.97,151.4,8630,94.89,163.31,3290.956209,584.9355985,1105.322795,1020.644537,68.16005078,16.51820715
1,2,4,112.23,1001.21,673.41,32629,549.07,740.92,184.26,164.06,9070,75.61,173.75,3826.142309,560.7073222,829.380237,608.3743252,186.8737269,34.13218484
1,2,5,120.54,1167.64,821.47,38292,552.69,1026.64,244.26,205.2,9890,83.73,193.13,3357.643166,550.8509439,1266.751306,1014.900039,188.9200664,62.93120008
1,2,6,132.26,1341.46,975.59,44156,556.7,1268.55,259.5,258.2,10480,80.12,207.4,3783.846473,512.6217232,922.0272,567.2252931,297.7509068,57.05100008
1,2,7,139.34,1583.56,1151.55,51460,560.45,1413,313.58,316,11725,81.3,207.93,3996.422844,589.8218519,1243.059544,859.6556118,335.1652125,48.23871932
1,2,8,150.92,1894.14,1373.51,60774,564.56,1486.54,322.89,380.2,12889,73.49,236.96,3546.763029,690.7201901,1345.5029,997.9785119,301.44,46.08386621
1,2,9,166.85,2190.78,1588.89,69687,568.09,1610.86,307.75,450.2,13550,78.43,262.44,3623.561243,666.5363523,1185.45246,807.0893781,349.06,29.29821784
1,2,10,183.53,2362.14,1783.63,76012,571.02,1860.45,374.51,530.5,15594,77.86,286.78,3637.080926,707.7464271,985.7575332,628.3612725,344.63,12.76270974
1,2,11,219.13,2856.74,2105.13,90490,574.08,2034.99,557.27,650.8,16220,77.06,339.59,3576.282647,698.4810543,1125.913844,809.7763398,265,51.57721812
1,2,12,255.23,3349.53,2454.28,105333,576.4,2385.5,754.94,751.3,15280,78.5,397.93,4032.685704,679.6635626,1468.163582,1010.608804,371,86.53164381
1,2,13,268.52,3516.84,2796.85,114065,577.71,2901.42,884.35,862.8,16570,71.1,419.81,2891.929677,644.9003935,1839.429316,1391.191416,408.5039417,39.73395867
1,2,14,272.06,3680.97,3211.48,123754,580.15,3422.95,1123.14,953.5,17790,60.79,428.72,3697.759229,835.5919633,1154.566851,528.8973885,380.4510008,245.2184614
1,2,15,275.7,3980.41,3354.17,130769,583.78,3989.46,1328.14,1068.1,21918,63.76,432.48,3420.655529,722.8892301,1679.090256,915.4985565,395.5926859,367.9990138
1,2,16,284.68,4098.22,3620.71,136773,586.57,4506.58,1228.84,1233.3,22906,61.69,447.32,3405.674265,870.3382128,1744.324915,882.5197298,431.9578903,429.8472948
1,2,17,302.06,4455.33,3929.1,147537,590.96,4961.39,1270.33,1446.4,25635,61.5,463.31,3515.287925,870.9907392,1297.124736,718.5461924,293.7130582,284.8654855
1,2,18,305.81,5119.45,4416.8,160706,596.93,5009.58,1374.47,1716,29002,63.7,464.51,3226.467412,803.4779608,1621.228309,926.8498134,327.9222762,366.4562194
1,3,1,103.96,709.32,569.28,22342,621.58,376.647,101.535,214.3,7865,153.0785,153,4884.737837,49.9221946,437.7641706,400.0693937,30.56402024,7.130756596
1,3,2,111.457,7935.809,662.976,25074,629.14,463.493,140.913,249.7,8588,134.78,165,4287.374684,129.8732493,756.3627006,677.1072986,19.24309519,60.01230675
1,3,3,114.639,901.823,765.369,28150,636.81,562.337,198.252,294.4,10391,116.5802,169,4643.419561,215.0774214,670.9772649,634.4332388,14.73389462,21.81013144
1,3,4,126.589,1075.781,897.404,32819,642.78,895.209,258.845,325.9,12118,100.2707,189,4154.898191,194.8129716,973.0543787,901.5524395,40.50504898,30.99689023
1,3,5,132.234,1318.225,1092.72,39292,651.68,1108.199,328.541,410.1,13117,106.8009,198,4752.279733,100.0555395,854.2917533,673.2267703,95.67906072,85.38592224
1,3,6,148.21,1494.36,1301.27,44871,660.45,1277.797,410.571,465.1,13539,103.495,219,4266.114017,116.5817587,1343.851086,1136.768875,134.3102608,72.77194997
